Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,30,0.5,symmetric,-6.398638932342496,-6.698739293499717,0.3322830242515766,-5.938903582796134,-0.18256281164990915
100% Corpus,30,1,0.01,-7.011183945987762,-6.67602406044082,0.3276958797495556,-5.664193319299959,-0.1653309244533784
100% Corpus,30,1,0.1,-6.438888566844067,-6.572251295834861,0.3193650580548767,-5.571522982190264,-0.16147811607783927
100% Corpus,30,1,0.5,-6.384011309847799,-5.813338958680544,0.30961290190202,-4.787578438034816,-0.1369853667642201
100% Corpus,30,1,1,-6.470642648194858,-4.891802984811724,0.2876893102741634,-3.794979501155873,-0.10674411164864625
100% Corpus,30,1,symmetric,-6.657622300624515,-6.731423821910607,0.3316791405826767,-5.706493288787607,-0.16667227319292016
100% Corpus,30,symmetric,0.01,-6.332432689559273,-6.419926767747359,0.32397247642560884,-5.566802522973871,-0.17300604002155684
100% Corpus,30,symmetric,0.1,-5.965090909659019,-6.403595941927872,0.3205862399715278,-5.629162380861841,-0.17524776236233655
100% Corpus,30,symmetric,0.5,-5.933689031209764,-6.369995678095173,0.3259405786527986,-5.635542199892121,-0.1781041196095497
100% Corpus,30,symmetric,1,-5.9922546509439885,-6.268425247364366,0.30705280682598934,-5.559351510937104,-0.17302796197345574
100% Corpus,30,symmetric,symmetric,-6.098583855539005,-6.4090616183513145,0.3218425635804056,-5.5882795766664115,-0.17336805476811007
100% Corpus,30,asymmetric,0.01,-6.330899589268945,-6.488663725602422,0.32330783426727205,-5.571014999733553,-0.17288154450576076
100% Corpus,30,asymmetric,0.1,-5.9672731832000485,-6.534357772140898,0.32519942265900004,-5.7302151884607815,-0.18092061678846158
100% Corpus,30,asymmetric,0.5,-5.9360989424576385,-6.228216492998473,0.3199562783335637,-5.424397639800293,-0.16914390114541816
100% Corpus,30,asymmetric,1,-5.997993442786042,-6.124100696078756,0.307639338329456,-5.329343056800239,-0.16324890068128545
100% Corpus,30,asymmetric,symmetric,-6.099500857320913,-6.544792840689875,0.3253478625635634,-5.6589683016135774,-0.17620661579085875
100% Corpus,35,0.01,0.01,-6.312548486323033,-6.430061516356704,0.3091156531608133,-5.561718101106884,-0.17227823758157912
100% Corpus,35,0.01,0.1,-5.924332525881207,-6.314588787215932,0.3063914996068049,-5.503898348374666,-0.17019478071477098
100% Corpus,35,0.01,0.5,-5.902229011168956,-6.179767157945306,0.3110348645557525,-5.294127796466071,-0.16175584363479248
100% Corpus,35,0.01,1,-5.964597209748136,-6.184664419939304,0.30492975134624656,-5.356374413413295,-0.1660189525298063
100% Corpus,35,0.01,symmetric,-6.089960098366611,-6.388156183126585,0.3091887855494336,-5.531693727254348,-0.17118698724458042
100% Corpus,35,0.1,0.01,-6.396686528890986,-6.348487298328045,0.3070072533357048,-5.492060621104825,-0.17051585456988608
100% Corpus,35,0.1,0.1,-6.005284197835776,-6.358433464750566,0.3021827049747478,-5.526754967635436,-0.17146162367899662
100% Corpus,35,0.1,0.5,-6.002983209161943,-6.130543511639662,0.30381594342969964,-5.303248177687053,-0.1615418378039975
100% Corpus,35,0.1,1,-6.073268241151565,-6.280984813361293,0.31286259219746027,-5.427383312169475,-0.16724589437953183
100% Corpus,35,0.1,symmetric,-6.169594323779815,-6.334433877570293,0.30385398163842875,-5.517245477362777,-0.17190577520929154
100% Corpus,35,0.5,0.01,-6.760807360097942,-6.695158847454223,0.32822548056095124,-5.918531048717264,-0.18053774870675143
100% Corpus,35,0.5,0.1,-6.236083655630935,-6.6601899465368035,0.3230360075197981,-5.941785764166771,-0.18106392725264478
100% Corpus,35,0.5,0.5,-6.229096863199384,-6.3513162558335186,0.30762956090929366,-5.6000998370566375,-0.16893275491254758
100% Corpus,35,0.5,1,-6.3104715006096885,-6.142478980488161,0.31109561611094355,-5.340982984522997,-0.1584609534132452
100% Corpus,35,0.5,symmetric,-6.452434340656048,-6.650445968693944,0.32483689414272227,-5.9022980163126535,-0.1799617869100277
100% Corpus,35,1,0.01,-7.126814774920025,-6.851385112619196,0.32952644497495587,-5.90436159039937,-0.16987642453743232
100% Corpus,35,1,0.1,-6.483015987496636,-6.546847625397795,0.3260046485620202,-5.583019959961647,-0.15697062334860087
100% Corpus,35,1,0.5,-6.4358075891824695,-5.718345980198246,0.2956086284440954,-4.578509397239621,-0.1269665758867159
100% Corpus,35,1,1,-6.55206659677919,-4.336527784545529,0.26725410574298153,-3.242126947992268,-0.08837553801139907
100% Corpus,35,1,symmetric,-6.769235726720766,-6.798994219090081,0.3286324366613445,-5.839614630200899,-0.16716533455339702
100% Corpus,35,symmetric,0.01,-6.320169792421952,-6.310953061794174,0.30415942296856796,-5.465075963481382,-0.16967742816973122
100% Corpus,35,symmetric,0.1,-5.933338606004546,-6.296959751240549,0.3039101211791329,-5.450081939316193,-0.16788809127945362
100% Corpus,35,symmetric,0.5,-5.919096192512233,-6.240109572519718,0.3111837322909703,-5.368661909577315,-0.16454440407249604
100% Corpus,35,symmetric,1,-5.985550530110934,-6.177444133782571,0.3056768150709521,-5.307530121270548,-0.16358867253423967
100% Corpus,35,symmetric,symmetric,-6.096226138163634,-6.39189142828575,0.30756089387272795,-5.526221371427278,-0.1712709705349615
100% Corpus,35,asymmetric,0.01,-6.324442567864399,-6.400561947753201,0.31032578380306114,-5.589063141177161,-0.17384915435407952
100% Corpus,35,asymmetric,0.1,-5.938817668196165,-6.476774383968526,0.3116310380279134,-5.652330443123436,-0.1750927944375703
100% Corpus,35,asymmetric,0.5,-5.924652796867118,-6.564522661866673,0.31488096201158416,-5.6611504820765886,-0.1757188955526759
100% Corpus,35,asymmetric,1,-5.988116783319839,-6.56286965612215,0.31268296343776664,-5.773407042003906,-0.18073815836238527
100% Corpus,35,asymmetric,symmetric,-6.1008327898611965,-6.402254560520616,0.3116434184855205,-5.557381446907978,-0.17139530960418195
100% Corpus,40,0.01,0.01,-6.2748358459895925,-6.453262361675807,0.316866082392022,-5.655210461229389,-0.17549622489089498
100% Corpus,40,0.01,0.1,-5.877105866743703,-6.607771804599961,0.3162651861865807,-5.77089753479032,-0.1793746314464047
100% Corpus,40,0.01,0.5,-5.884648174335976,-6.356315339030445,0.31031979352320854,-5.5484573165061475,-0.17417497422638545
100% Corpus,40,0.01,1,-5.945289555988151,-6.3964008669525425,0.3207735481080835,-5.6006892563976205,-0.17534133154267578
100% Corpus,40,0.01,symmetric,-6.067551709621106,-6.611417339181559,0.3175022110149058,-5.753709743101346,-0.1783458954857227
100% Corpus,40,0.1,0.01,-6.368443968337898,-6.5898392774074015,0.3191971145374163,-5.773678709970656,-0.17872299634422348
100% Corpus,40,0.1,0.1,-5.9717463315597845,-6.466020886554662,0.32311364870839443,-5.707219635059417,-0.17641639931114006
